year,run,addiction_rate,mean_debt,pct_over_50
1995,0,0.101,9.847202970606785,0.0
1996,0,0.197,33.117623772687615,0.0
1997,0,0.262,64.86999291198092,0.004
1998,0,0.335,108.90068218828074,0.014
1999,0,0.394,169.94338258340989,0.026
2000,0,0.441,236.65194430557963,0.059
2001,0,0.487,323.93949395638583,0.096
2002,0,0.518,419.8314204432068,0.148
2003,0,0.559,528.8422379004846,0.181
2004,0,0.594,658.258540580805,0.231
2005,0,0.626,798.6794303438589,0.28
2006,0,0.657,955.2332880952994,0.331
2007,0,0.69,1136.5863926864536,0.381
2008,0,0.716,1323.9972474885346,0.426
2009,0,0.737,1541.0766007417628,0.462
2010,0,0.765,1768.3755693403057,0.509
2011,0,0.782,2014.8105177710877,0.539
2012,0,0.799,2269.6663002233736,0.573
2013,0,0.815,2545.2795747992377,0.596
2014,0,0.835,2826.029787122477,0.617
2015,0,0.847,3134.995090747017,0.651
2016,0,0.865,3456.7895248413683,0.675
2017,0,0.879,3786.658433766635,0.693
2018,0,0.888,4121.15890846938,0.713
2019,0,0.897,4468.486784687042,0.734
2020,0,0.911,4835.037376148965,0.747
2021,0,0.919,5218.0438222641815,0.768
2022,0,0.924,5597.181822955441,0.784
2023,0,0.93,5973.855223791718,0.797
2024,0,0.935,6341.917886975259,0.811
2025,0,0.943,6719.251121785753,0.826
1995,1,0.105,7.72747817366683,0.0
1996,1,0.178,28.6640739908823,0.0
1997,1,0.256,64.45659263930727,0.005
1998,1,0.323,110.19375071076016,0.013
1999,1,0.377,167.17951703419897,0.029
2000,1,0.441,239.0414740679021,0.063
2001,1,0.488,322.50692538238906,0.094
2002,1,0.536,413.5996447731537,0.135
2003,1,0.582,532.5272080441064,0.184
2004,1,0.607,661.0829455623689,0.237
2005,1,0.636,800.7503901993744,0.283
2006,1,0.665,962.1816081201658,0.337
2007,1,0.688,1137.8425235624154,0.378
2008,1,0.711,1332.8673734115894,0.432
2009,1,0.726,1533.0779320078557,0.472
2010,1,0.747,1751.7585660263749,0.508
2011,1,0.765,1992.0502927465648,0.542
2012,1,0.788,2245.1121451240124,0.58
2013,1,0.811,2524.3831675488636,0.607
2014,1,0.837,2818.9172650411865,0.635
2015,1,0.855,3125.2903270766205,0.66
2016,1,0.866,3451.426545938587,0.682
2017,1,0.877,3784.301295134452,0.698
2018,1,0.886,4132.83555609896,0.721
2019,1,0.899,4485.871047022172,0.741
2020,1,0.907,4843.615652864512,0.761
2021,1,0.917,5218.736250233542,0.773
2022,1,0.926,5592.958662644217,0.789
2023,1,0.932,5970.262129956756,0.804
2024,1,0.941,6352.798024803046,0.816
2025,1,0.945,6722.94784858408,0.824
1995,2,0.093,12.578728367548203,0.0
1996,2,0.183,33.592455545946244,0.004
1997,2,0.257,63.4389389463581,0.008
1998,2,0.326,107.8192849907633,0.02
1999,2,0.392,166.3758290815897,0.043
2000,2,0.451,237.51918718974338,0.063
2001,2,0.493,318.3636368366098,0.086
2002,2,0.53,418.38624113451976,0.128
2003,2,0.58,539.2249147428199,0.171
2004,2,0.616,676.7907164171869,0.222
2005,2,0.648,828.1719832177095,0.275
2006,2,0.675,992.1467884119099,0.335
2007,2,0.707,1170.9203777139946,0.398
2008,2,0.732,1376.5108086062019,0.447
2009,2,0.751,1594.9784780558105,0.488
2010,2,0.772,1826.025809233279,0.524
2011,2,0.795,2069.2929820773616,0.573
2012,2,0.816,2336.9150208783285,0.606
2013,2,0.829,2610.7840359954553,0.632
2014,2,0.848,2905.1491036703505,0.663
2015,2,0.863,3222.1259931823315,0.68
2016,2,0.877,3540.726984328874,0.701
2017,2,0.892,3876.9480913618145,0.716
2018,2,0.898,4232.164053774139,0.738
2019,2,0.903,4582.840992878467,0.759
2020,2,0.921,4947.177083154504,0.775
2021,2,0.93,5329.4124783221105,0.785
2022,2,0.935,5701.40378742237,0.801
2023,2,0.944,6092.38217852891,0.819
2024,2,0.95,6479.807080656485,0.836
2025,2,0.955,6867.140524059242,0.846
1995,3,0.115,13.227153136181123,0.0
1996,3,0.204,35.49957799127441,0.001
1997,3,0.276,70.24243604308623,0.005
1998,3,0.35,120.0163814260269,0.019
1999,3,0.402,186.23081093365408,0.039
2000,3,0.461,268.17579420243635,0.072
2001,3,0.508,361.3181678241731,0.115
2002,3,0.553,461.45353233186194,0.165
2003,3,0.593,576.6712490766133,0.203
2004,3,0.619,711.6500739519429,0.254
2005,3,0.64,852.7364587493182,0.306
2006,3,0.671,1030.2793301449708,0.358
2007,3,0.699,1214.9343411395496,0.396
2008,3,0.723,1404.4643248175796,0.434
2009,3,0.744,1606.4455790274492,0.472
2010,3,0.763,1836.3866569524087,0.512
2011,3,0.781,2077.6626247266563,0.548
2012,3,0.797,2338.6150564428067,0.583
2013,3,0.82,2610.6777997880135,0.608
2014,3,0.839,2903.0354899058616,0.646
2015,3,0.853,3208.656510487769,0.66
2016,3,0.867,3532.7858610861035,0.68
2017,3,0.883,3861.85569864546,0.699
2018,3,0.903,4205.000783834777,0.717
2019,3,0.916,4564.57390319425,0.74
2020,3,0.921,4925.8222720444555,0.749
2021,3,0.931,5302.069423986271,0.769
2022,3,0.936,5669.388613082134,0.786
2023,3,0.947,6055.533837440301,0.8
2024,3,0.95,6435.268179019707,0.813
2025,3,0.956,6807.118180250223,0.824
1995,4,0.135,16.88865214352928,0.0
1996,4,0.213,43.69736057537626,0.003
1997,4,0.285,89.4691548740323,0.01
1998,4,0.349,139.9060052723635,0.029
1999,4,0.405,204.00729233294715,0.049
2000,4,0.465,281.7479498606868,0.076
2001,4,0.51,374.8094815856514,0.122
2002,4,0.549,482.1886161380483,0.156
2003,4,0.579,596.7042494726313,0.2
2004,4,0.607,722.7240740365426,0.25
2005,4,0.635,864.6455767607624,0.3
2006,4,0.672,1032.1855230476078,0.353
2007,4,0.696,1210.4813050685134,0.403
2008,4,0.72,1402.1700652907532,0.454
2009,4,0.746,1613.5237149185646,0.483
2010,4,0.772,1849.1817406237674,0.518
2011,4,0.795,2088.519284162572,0.558
2012,4,0.808,2352.7488197333373,0.588
2013,4,0.826,2630.934457605497,0.613
2014,4,0.839,2923.9295462204395,0.639
2015,4,0.853,3226.372978606686,0.661
2016,4,0.868,3546.1482821980358,0.685
2017,4,0.883,3886.2704004819348,0.717
2018,4,0.899,4241.506296683136,0.738
2019,4,0.91,4602.0322099732775,0.76
2020,4,0.919,4963.457656011998,0.775
2021,4,0.925,5342.093400050139,0.783
2022,4,0.933,5710.068739540018,0.801
2023,4,0.937,6092.535205877637,0.813
2024,4,0.942,6482.536448457895,0.824
2025,4,0.948,6857.251402172331,0.832
1995,5,0.109,12.87695971033794,0.0
1996,5,0.189,37.63747145020278,0.002
1997,5,0.27,78.30349852817773,0.009
1998,5,0.343,125.7476945866715,0.02
1999,5,0.389,184.09691048794275,0.04
2000,5,0.44,254.8117605171955,0.064
2001,5,0.484,340.6129752154397,0.11
2002,5,0.525,447.91163581091155,0.142
2003,5,0.561,559.393324074175,0.194
2004,5,0.585,691.4927017618397,0.234
2005,5,0.627,830.9848156039521,0.286
2006,5,0.66,990.2160488604322,0.332
2007,5,0.693,1172.5967200646069,0.38
2008,5,0.719,1357.8515101301887,0.416
2009,5,0.737,1579.8924725056509,0.464
2010,5,0.764,1801.2103074538745,0.51
2011,5,0.785,2040.7472242452302,0.551
2012,5,0.813,2297.08551690843,0.586
2013,5,0.83,2572.4022007625344,0.622
2014,5,0.846,2854.7322650546303,0.648
2015,5,0.863,3163.0521488754034,0.666
2016,5,0.874,3482.0965857727556,0.69
2017,5,0.885,3814.9722976975695,0.704
2018,5,0.895,4164.463886259895,0.725
2019,5,0.904,4518.3115276357385,0.748
2020,5,0.91,4878.2318401149505,0.763
2021,5,0.921,5243.590346505359,0.781
2022,5,0.93,5616.527386745792,0.801
2023,5,0.938,6002.850984014159,0.81
2024,5,0.944,6380.353347562863,0.821
2025,5,0.95,6757.824096992196,0.829
1995,6,0.12,16.380479032394504,0.0
1996,6,0.204,44.36131410127625,0.003
1997,6,0.279,82.84172549537844,0.012
1998,6,0.341,131.95327867824952,0.031
1999,6,0.408,204.6716515185481,0.055
2000,6,0.455,288.03350406636343,0.089
2001,6,0.495,384.7697728203528,0.127
2002,6,0.526,493.2108816324561,0.164
2003,6,0.562,611.4899102708853,0.224
2004,6,0.591,746.9973039917763,0.261
2005,6,0.626,899.6025636398573,0.304
2006,6,0.66,1057.9557990978626,0.348
2007,6,0.691,1252.8109726427438,0.394
2008,6,0.71,1457.9013210333442,0.441
2009,6,0.74,1681.651696431387,0.481
2010,6,0.765,1920.3026230710693,0.515
2011,6,0.783,2169.0075396995794,0.552
2012,6,0.802,2445.00477613445,0.585
2013,6,0.822,2727.656148231824,0.617
2014,6,0.832,3033.4407636130145,0.639
